t_ms,temp_C
147597,30.50,30.75
148097,30.75,30.75
148597,30.75,30.75
149097,30.25,30.70
149597,31.00,30.73
150097,30.75,30.73
150597,31.00,30.76
151097,31.00,30.78
151597,31.00,30.80
152097,30.50,30.77
152597,31.00,30.80
153097,30.75,30.79
153597,30.50,30.76
154097,31.00,30.79
154597,31.00,30.81
155097,31.00,30.83
155597,31.00,30.84
156097,31.00,30.86
156597,30.50,30.82
157097,30.50,30.79
157597,31.00,30.81
158097,31.00,30.83
158597,30.50,30.80
159097,30.50,30.77
159597,30.50,30.74
160097,30.25,30.69
160597,30.25,30.65
161097,30.75,30.66
161597,31.00,30.69
162097,30.75,30.70
162597,31.00,30.73
163097,30.75,30.73
163597,31.00,30.76
164097,30.50,30.73
164597,30.75,30.73
165097,31.00,30.76
165597,31.25,30.81
166097,30.75,30.80
166597,31.00,30.82
167097,30.75,30.82
167597,31.00,30.83
168097,31.00,30.85
168597,31.25,30.89
169097,31.00,30.90
169597,31.00,30.91
170097,30.50,30.87
170597,30.50,30.83
171097,31.00,30.85
171597,30.50,30.81
172097,30.50,30.78
172597,30.50,30.76
173097,30.50,30.73
173597,31.00,30.76
174097,31.00,30.78
174597,31.25,30.83
175097,31.00,30.85
175597,31.00,30.86
176097,30.50,30.82
176597,31.00,30.84
177097,30.75,30.83
177597,30.75,30.82
178097,30.75,30.82
178597,30.75,30.81
179097,31.00,30.83
