t_ms,temp_C
5458,32.25
5958,31.75
6458,32.00
6958,32.00
7458,31.50
7958,31.75
8458,32.00
8958,31.75
9458,31.25
9958,31.75
10458,31.25
10958,31.00
11458,31.75
11958,31.75
12458,31.75
12958,31.75
13458,31.50
13958,32.00
14458,32.00
14958,32.00
15458,31.75
15958,31.75
16458,31.75
16958,31.75
17458,31.75
17958,32.00
18458,32.00
18958,31.75
19458,31.75
19958,32.00
20458,31.50
20958,31.75
21458,32.00
21958,31.50
22458,31.75
22958,32.00
23458,32.00
23958,32.00
24458,31.75
24958,32.00
25458,32.00
25958,32.25
26458,31.75
26958,31.50
27458,31.75
27958,31.75
28458,31.50
28958,31.50
29458,31.25
29958,32.00
30458,32.00
30958,32.00
31458,32.00
31958,31.75
32458,32.00
32958,31.75
33458,31.50
33958,31.75
34458,32.00
34958,31.50
35458,32.00
35958,32.00
36458,32.00
36958,31.75
37458,32.00
37958,31.50
38458,31.50
38958,32.00
39458,31.75
39958,32.00
40458,31.50
40958,31.75
41458,32.00
41958,31.75
42458,32.00
42958,32.00
43458,31.50
43958,32.25
44458,32.00
44958,31.75
45458,32.25
45958,31.75
46458,31.50
46958,31.75
47458,31.75
47958,31.75
48458,31.50
48958,32.25
49458,32.25
49958,32.00
50458,32.00
50958,32.25
51458,32.25
51958,32.00
52458,31.50
52958,32.00
53458,32.00
53958,32.00
54458,32.00
54958,31.75
55458,32.00
55958,31.75
56458,32.25
56958,32.00
57458,31.75
57958,32.00
58458,32.00
58958,32.25
59458,32.00
59958,31.75
60458,32.00
60958,32.00
61458,31.50
61958,32.00
62458,32.00
62958,31.50
63458,32.00
63958,32.00
64458,31.50
64958,31.25
65458,32.00
65958,32.00
66458,32.00
66958,32.00
67458,32.00
67958,32.25
68458,32.25
68958,32.00
69458,32.00
69958,31.75
70458,31.75
70958,31.75
71458,32.25
71958,32.50
72458,31.75
72958,31.50
73458,32.00
73958,32.25
74458,31.75
74958,31.75
75458,31.75
75958,32.00
76458,32.25
76958,31.50
77458,32.25
77958,31.75
78458,31.75
78958,32.00
79458,32.00
79958,32.00
80458,32.00
80958,32.00
81458,31.75
81958,31.50
82458,31.75
82958,31.25
83458,32.00
83958,32.00
84458,32.25
84958,32.25
85458,32.00
85958,31.75
86458,32.00
86958,32.00
87458,31.75
87958,31.75
88458,31.75
88958,32.25
89458,32.00
89958,32.25
90458,32.00
90958,32.00
91458,32.25
91958,32.00
