t_ms,temp_C
1902,26.50
2402,26.50
2902,26.75
3402,26.50
3902,26.50
4402,26.50
4902,26.25
5402,26.50
5902,26.25
6402,26.00
6902,25.75
7402,26.00
7902,25.25
8402,26.25
8902,25.25
9402,25.50
9902,25.50
10402,25.25
10902,25.00
11402,25.25
11902,25.00
12402,25.00
12902,24.75
13402,25.00
13902,24.75
14402,25.25
14902,24.50
15402,24.50
15902,24.50
16402,24.50
16902,23.75
17402,23.75
17902,24.25
18402,24.50
18902,24.25
19402,23.75
19902,24.00
20402,23.75
20902,24.25
21402,23.25
21902,23.25
22402,23.00
22902,22.75
23402,22.75
23902,23.00
24402,23.00
24902,22.50
25402,22.75
25902,22.25
26402,22.00
26902,22.50
27402,22.75
27902,22.75
28402,22.75
28902,22.75
29402,22.75
29902,22.75
30402,22.75
30902,22.25
31402,22.50
31902,22.25
32402,22.25
32902,22.25
33402,22.75
33902,22.75
34402,22.25
34902,22.50
35402,22.25
35902,22.50
36402,22.50
36902,22.50
37402,22.00
37902,22.50
38402,22.50
38902,22.25
39402,22.00
39902,22.25
40402,22.00
40902,22.50
41402,22.50
41902,22.50
42402,22.75
42902,22.75
43402,22.25
43902,22.75
44402,22.25
44902,22.50
45402,22.75
45902,22.50
46402,22.50
46902,22.00
47402,22.00
47902,22.50
48402,22.00
48902,22.25
49402,21.75
49902,21.25
50402,22.00
50902,22.25
51402,21.50
51902,22.25
52402,22.50
52902,21.75
53402,22.00
53902,22.00
54402,22.00
54902,22.00
55402,21.75
55902,21.75
56402,21.50
56902,22.00
57402,22.25
57902,22.25
58402,22.50
58902,22.00
59402,22.00
59902,21.50
60402,22.00
60902,21.75
61402,22.00
61902,22.00
62402,22.25
62902,21.50
63402,22.00
63902,22.50
64402,22.00
64902,21.75
65402,22.00
65902,22.00
66402,22.00
66902,22.00
67402,21.75
67902,21.50
68402,22.00
68902,22.00
69402,21.50
69902,21.75
70402,21.75
70902,21.50
71402,21.50
71902,21.50
72402,21.50
72902,21.25
