t_ms,temp_C
1988,32.00
2488,31.75
2988,32.00
3488,31.50
3988,32.00
4488,31.50
4988,32.00
5488,32.00
5988,31.00
6488,31.50
6988,31.75
7488,31.75
7988,32.00
8488,32.00
8988,31.50
9488,31.75
9988,31.50
10488,31.75
10988,32.00
11488,31.75
11988,32.00
12488,31.75
12988,32.00
13488,32.00
13988,31.25
14488,31.75
14988,31.75
15488,31.75
15988,31.25
16488,31.50
16988,31.75
17488,31.75
17988,31.75
18488,31.50
18988,31.75
19488,31.75
19988,31.50
20488,31.75
20988,32.00
21488,31.50
21988,31.50
22488,31.00
22988,31.75
23488,32.00
23988,31.75
24488,31.75
24988,32.00
25488,31.50
25988,32.00
26488,32.00
26988,32.00
27488,31.50
27988,32.00
28488,31.50
28988,32.00
29488,31.75
29988,31.75
30488,31.75
30988,32.00
31488,32.00
31988,32.00
32488,32.00
32988,31.75
33488,32.00
33988,32.00
34488,32.00
34988,32.00
35488,32.00
35988,31.75
36488,32.00
36988,31.75
37488,32.00
37988,32.00
38488,31.75
38988,32.00
39488,32.00
39988,31.75
40488,31.50
40988,32.00
41488,31.25
41988,31.50
42488,31.50
42988,31.25
43488,32.00
43988,32.00
44488,32.00
44988,32.00
45488,31.50
45988,32.00
46488,32.00
46988,32.00
47488,31.00
47988,31.50
48488,32.00
48988,31.75
49488,31.75
49988,31.50
50488,32.25
50988,32.00
51488,31.50
51988,32.00
52488,31.75
52988,32.00
53488,31.25
53988,31.75
54488,32.00
54988,32.00
55488,32.00
55988,32.00
56488,31.50
56988,32.00
57488,31.75
57988,32.00
58488,31.50
58988,31.25
59488,32.00
59988,31.25
60488,32.00
