id,center_x,center_y,border_x,border_y,radius_px,diameter_px,um_per_pixel
1,1456,496,1461,499,5.830951894845301,11.661903789690601,0.17149858514250882
2,1426,711,1430,712,4.123105625617661,8.246211251235321,0.24253562503633297
3,1520,500,1524,504,5.656854249492381,11.313708498984761,0.17677669529663687
4,1436,561,1439,563,3.605551275463989,7.211102550927978,0.2773500981126146
5,2329,904,2333,904,4.0,8.0,0.25
6,2124,537,2128,541,5.656854249492381,11.313708498984761,0.17677669529663687
7,1958,754,1963,759,7.0710678118654755,14.142135623730951,0.1414213562373095
8,1957,1184,1962,1187,5.830951894845301,11.661903789690601,0.17149858514250882
