id,center_x,center_y,border_x,border_y,radius_px,diameter_px,um_per_pixel
1,1456,546,1463,541,8.602325267042627,17.204650534085253,0.11624763874381928
2,1456,546,1461,544,5.385164807134504,10.770329614269007,0.18569533817705186
3,1455,545,1460,548,5.830951894845301,11.661903789690601,0.17149858514250882
4,1458,546,1452,547,6.082762530298219,12.165525060596439,0.1643989873053573
5,1426,761,1433,761,7.0,14.0,0.14285714285714285
6,1425,762,1427,758,4.47213595499958,8.94427190999916,0.22360679774997896
7,1425,762,1428,766,5.0,10.0,0.2
8,1426,762,1427,768,6.082762530298219,12.165525060596439,0.1643989873053573
9,1427,763,1431,760,5.0,10.0,0.2
10,1426,763,1429,761,3.605551275463989,7.211102550927978,0.2773500981126146
